t (s),V (mV)
0,13.2642
1,13.2545
2,13.2245
3,13.1992
4,13.1882
5,13.1623
6.001,13.1376
7,13.1225
8.001,13.1023
9,13.079
10.001,13.0566
11,13.0375
12.001,13.0047
13,12.9847
14,12.9565
15,12.9274
16,12.8959
17,12.8768
18,12.8725
19.001,12.8337
20,12.8161
21,12.8013
22,12.7644
23.001,12.7459
24.001,12.725
25,12.6953
26,12.6782
27,12.6479
28.001,12.6285
29,12.6127
30,12.5823
31,12.5542
32,12.5293
33.001,12.5055
34.001,12.4763
35.001,12.4619
36,12.4389
37,12.417
38,12.3978
39,12.3747
40,12.3476
41,12.3253
42,12.299
43,12.2909
44,12.2609
45,12.3229
46,12.2482
47,12.2602
48,12.2291
49,12.1941
50,12.1701
51,12.1441
52,12.1372
53,12.1161
54,12.0815
55,12.0723
56,12.0481
57.001,12.0366
58.001,12.0033
59,11.9915
60,11.9638
61.001,11.9414
62,11.9131
63.001,11.8957
64,11.8797
65.001,11.8541
66,11.8531
67,11.8178
68,11.8021
69,11.7836
70,11.7544
71.001,11.7331
72.001,11.7244
73,11.7051
74,11.6877
75,11.6559
76,11.6375
77,11.6134
78,11.6006
79.001,11.5895
80.001,11.5701
81,11.5491
82,11.5315
83,11.5101
84,11.4907
85.001,11.4745
86.001,11.4613
87.001,11.4422
88.001,11.4215
89.001,11.3968
90.001,11.3774
91.001,11.3611
92.001,11.3286
93.001,11.3132
94.001,11.3006
95.001,11.2753
96.001,11.2568
97.001,11.2433
98.001,11.2228
99.001,11.2169
100.001,11.1949
101,11.1797
102,11.1536
103,11.1321
104,11.1194
105,11.0975
106,11.0898
107,11.0654
108,11.0467
109,11.0275
110,11.0107
111,10.9875
112.001,10.9712
113,10.9588
114,10.9464
115.001,10.9306
116,10.8977
117,10.8846
118,10.8807
119.001,10.8575
120.001,10.8349
121,10.8202
122,10.7986
123,10.7875
124,10.7747
125.001,10.7443
126.001,10.7371
127.001,10.7213
128.001,10.6988
129,10.6802
130,10.6647
131,10.6402
132,10.6205
133,10.6026
134,10.582
135,10.5782
135.999,10.5484
136.999,10.5309
137.999,10.5233
138.999,10.5075
139.999,10.4923
140.999,10.474
141.999,10.4439
142.999,10.4298
143.999,10.4134
144.999,10.406
145.999,10.3867
146.999,10.3789
147.999,10.359
148.999,10.3326
149.999,10.3201
150.999,10.2993
151.999,10.2948
152.999,10.2753
153.999,10.2602
154.999,10.252
155.999,10.2315
156.999,10.21
157.999,10.1903
158.999,10.1858
160,10.1648
160.999,10.1426
162,10.12
162.999,10.1098
163.999,10.0957
165,10.0856
165.999,10.0683
166.999,10.0518
167.999,10.045
168.999,10.0294
169.999,10.0096
170.999,10.0003
172,9.9829
173,9.9639
174,9.9449
175,9.9383
176,9.925
177,9.91
178,9.8757
179,9.8716
180,9.8575
181,9.8359
182,9.8246
183,9.8161
184,9.7942
185,9.8005
186.001,9.7746
187.001,9.7548
188.001,9.7339
189.001,9.7143
190,9.7157
191.001,9.6938
192,9.6845
193,9.6661
194,9.644
195,9.636
196,9.6194
197,9.6063
198.001,9.5922
199,9.5826
200,9.5739
201,9.5512
202,9.5354
203,9.5128
204,9.5078
205.001,9.4902
206.001,9.4785
207,9.4698
208,9.4481
209,9.4372
210,9.4313
211,9.4186
212,9.4017
213,9.3856
214,9.3836
215,9.3654
216.001,9.3614
217,9.3543
218,9.3398
219,9.3231
220.001,9.3073
221.001,9.2944
222,9.2753
223,9.2458
224,9.2637
225,9.2239
226,9.2297
227,9.2051
228.001,9.19
229,9.178
230,9.1677
231,9.1585
232,9.1431
233,9.1331
234,9.1199
235,9.1033
236,9.093
237.001,9.0769
238,9.0662
239,9.055
240,9.0368
241,9.0221
242,9.0061
243,8.9968
244,8.9909
245,8.9766
246,8.9638
247.001,8.95
248.001,8.9308
249.001,8.9299
250,8.9195
251,8.9042
252,8.8917
253,8.8623
254.001,8.8547
255.001,8.846
256,8.8448
257,8.8222
258,8.8004
259,8.7959
260,8.789
261,8.7744
262,8.7621
263.001,8.7542
264.001,8.7415
265,8.7223
266,8.7104
267,8.6985
268,8.6882
269.001,8.6727
270.001,8.6682
271.001,8.6579
272,8.6371
273,8.6192
274,8.6019
275,8.5926
276,8.5825
277,8.5819
278,8.5655
279,8.5454
280,8.5322
281,8.5293
282,8.5183
283,8.5078
284,8.4923
285,8.4713
286.001,8.4728
287.001,8.4556
288,8.4406
289,8.428
290,8.4264
291,8.4098
292,8.396
293,8.3929
294,8.3731
295,8.3512
296,8.333
297,8.3213
298,8.314
299,8.3019
300.001,8.2899
301.001,8.2744
302,8.2685
303,8.2574
304,8.2469
305.001,8.2319
306,8.2289
307,8.2077
308,8.1956
309,8.19
310,8.1783
311.001,8.1682
312.001,8.1407
313.001,8.1345
314,8.1246
315,8.0972
316,8.0902
317,8.0792
318,8.0678
319.001,8.0568
320.001,8.0511
321.001,8.0328
322,8.0155
323,8.01
324,7.9988
325,7.9855
326,7.9672
327,7.9641
328.001,7.9511
329.001,7.936
330.001,7.9315
331,7.9132
332,7.9057
333,7.8914
334,7.8783
335,7.865
336,7.8601
337,7.8538
338,7.8402
339,7.8294
340,7.8136
341,7.8035
342,7.7952
343.001,7.7768
344.001,7.7674
345,7.7599
346,7.7414
347,7.7334
348.002,7.7187
349,7.7102
350,7.699
351,7.6889
352.001,7.6667
353,7.6648
354,7.6608
355,7.644
356,7.6208
357,7.6195
358.001,7.6093
359,7.6061
360,7.5904
361,7.5844
362,7.564
363,7.5545
364,7.5346
365,7.5366
366,7.527
367.001,7.5089
368,7.4975
369,7.4973
370,7.4855
371.001,7.4665
372.001,7.4583
373.001,7.4488
374,7.4333
375,7.4255
376.001,7.4151
377,7.3984
378,7.3853
379,7.3771
380,7.3726
381,7.3619
382.001,7.3574
383,7.3435
384,7.3396
385,7.3337
386.001,7.3188
387.001,7.3039
388.001,7.2954
389.001,7.286
390,7.2811
391,7.2745
392,7.2563
393.001,7.2387
394,7.2388
395,7.2139
396,7.2165
397,7.2089
398,7.1898
399,7.1843
400,7.1731
401,7.1562
402,7.1469
403,7.145
404,7.1322
405,7.1132
406,7.1032
407,7.1025
408,7.0896
409,7.0836
410,7.0677
411.001,7.0529
412,7.0459
413.001,7.047
414,7.0347
415,7.0293
416.001,7.0142
417,6.9998
418,6.9908
419,6.9782
420,6.986
421,6.9621
422.001,6.9515
423,6.9281
424,6.9215
425,6.9092
426,6.9005
427,6.8844
428.001,6.8835
429.001,6.8782
430.001,6.8556
431,6.8589
432,6.8511
433,6.8428
434,6.8303
435.001,6.8156
